Organisation Name,Town/City,County,Type & Rating,Route
Neofin Advisory Ltd,London,,Worker (A rating),Skilled Worker
NEOM Europe Limited,London,,Worker (A rating),Skilled Worker
NEOMAM STUDIOS LIMITED,London,,Worker (A rating),Skilled Worker
Neon Black Ltd,London,,Worker (A rating),Skilled Worker
Neon River Limited,London,,Worker (A rating),Skilled Worker
Neota Logic Limited,London,,Worker (A rating),Skilled Worker
Nepenthes and Sons Ltd,London,,Worker (A rating),Skilled Worker
NEPETA LTD,London,,Worker (A rating),Skilled Worker
Nephila Syndicate Management Services Ltd,London,,Worker (A rating),Skilled Worker
Nephos Technologies,London,---,Worker (A rating),Skilled Worker
NERA UK LIMITED,London,,Worker (A rating),Skilled Worker
NERO HOLDINGS LIMITED,London,,Worker (A rating),Skilled Worker
NES LOGISTICS LTD,London,,Worker (A rating),Skilled Worker
Nest Cafe Bar Ltd,London,,Worker (A rating),Skilled Worker
Nest Digital Limited,London,,Worker (A rating),Skilled Worker
NEST EGG NATION LTD,London,England,Worker (A rating),Skilled Worker
Nest Food Group Limited,London,,Worker (A rating),Skilled Worker
Nest for Growing Minds Limited,London,,Worker (A rating),Skilled Worker
Nest Marco Polo,London,,Worker (A rating),Skilled Worker
NEST PERFORMANCE LTD.,London,,Worker (A rating),Skilled Worker
Nesta,London,,Worker (A rating),Skilled Worker
Nester Int'l Ltd,London,,Worker (A rating),Skilled Worker
NESTFIX LTD,London,,Worker (A rating),Skilled Worker
Nestor Group Ltd,London,,Worker (A rating),Skilled Worker
Nest,London,,Worker (A rating),Skilled Worker
Net Insight UK Ltd,London,,Worker (A rating),Skilled Worker
NET LONDON LTD,London,,Worker (A rating),Skilled Worker
Net Purpose Ltd,London,,Worker (A rating),Skilled Worker
Net Sec Group Limited,London,,Worker (A rating),Skilled Worker
Net Zero Capital Partners Limited,London,London (City),Worker (A rating),Skilled Worker
Net Zero Now Ltd,London,Kent,Worker (A rating),Skilled Worker
NET-A-PORTER GROUP Ltd,London,,Worker (A rating),Skilled Worker
NETAUTOMATE LTD,London,,Worker (A rating),Skilled Worker
Netcalibre Ltd,London,,Worker (A rating),Skilled Worker
Netcore Solutions UK Limited,London,,Worker (A rating),Skilled Worker
Netduma Limited,London,,Worker (A rating),Skilled Worker
Netflix Productions UK Limited,London,,Worker (A rating),Skilled Worker
Netflix Services UK Limited,London,,Worker (A rating),Skilled Worker
NETG5 GLOBAL LTD,London,,Worker (A rating),Skilled Worker
Netgem UK Ltd,London,,Worker (A rating),Skilled Worker
NetJets Management Limited,London,,Worker (A rating),Skilled Worker
Netlify UK Limited,London,,Worker (A rating),Skilled Worker
Netmarque Limited,London,,Worker (A rating),Skilled Worker
NetMind.AI Ltd,London,,Worker (A rating),Skilled Worker
NETQ MANAGEMENT CONSULTANCY SERVICES LIMITED,London,,Worker (A rating),Skilled Worker
NETRISHA LTD T/A WRAP IT UP,London,,Worker (A rating),Skilled Worker
Netroadshow EMEA Ltd,London,,Worker (A rating),Skilled Worker
NETS DENMARK A/S,London,,Worker (A rating),Skilled Worker
Netsapiens International Limited,London,,Worker (A rating),Skilled Worker
Netskope UK Ltd,London,London,Worker (A rating),Skilled Worker
Netspeak Games Ltd,London,,Worker (A rating),Skilled Worker
Netstone Global Limited,London,Feltham,Worker (A rating),Skilled Worker
Nettles Pharmacy Ltd,London,,Worker (A rating),Skilled Worker
Network Access Associates Limited,London,,Worker (A rating),Skilled Worker
Network Centric Support,London,,Worker (A rating),Skilled Worker
Network Fantasy Holdings Limited,London,,Worker (A rating),Skilled Worker
NETWORK FOOD DISTRIBUTION LTD,London,,Worker (A rating),Skilled Worker
NETWORK GUARD (UK) LIMITED,London,,Worker (A rating),Skilled Worker
NETWORK SCIENCE LTD,London,,Worker (A rating),Skilled Worker
Networking People (UK) Ltd,London,,Worker (A rating),Skilled Worker
NetworkIQ Ltd,London,,Worker (A rating),Skilled Worker
NETWORXX LIMITED,London,,Worker (A rating),Skilled Worker
Neuberger Berman Europe Ltd,London,,Worker (A rating),Skilled Worker
NeuConnect Britain Ltd,London,,Worker (A rating),Skilled Worker
Neudata Limited,London,,Worker (A rating),Skilled Worker
Neuhealth Digital Limited,London,,Worker (A rating),Skilled Worker
Neural Alpha Limited,London,,Worker (A rating),Skilled Worker
Neuralguard LTD,London,,Worker (A rating),Skilled Worker
"Neuro Tour Physiotherapy, Limited",London,Holborn,Worker (A rating),Skilled Worker
NeuroGEARS Ltd,London,,Worker (A rating),Skilled Worker
Neuron Innovations LTD,London,,Worker (A rating),Skilled Worker
Neurone Services Limited,London,,Worker (A rating),Skilled Worker
Nevado Limited,London,,Worker (A rating),Skilled Worker
Nevastar Finance Ltd,London,,Worker (A rating),Skilled Worker
Neve Capital Ltd,London,,Worker (A rating),Skilled Worker
NEVE JEWELS LIMITED,London,,Worker (A rating),Skilled Worker
Neverland Creative Limited,London,,Worker (A rating),Skilled Worker
NEVSAH ACADEMY LTD,London,,Worker (A rating),Skilled Worker
NEW ACCOUNTANCY AND FINANCIAL SERVICES,London,,Worker (A rating),Skilled Worker
New Age Sport Management (Uk) Ltd,London,,Worker (A rating),Skilled Worker
NEW AL-MADINA GROCERS LIMITED,London,,Worker (A rating),Skilled Worker
New Angle Productions Ltd,London,Greater London,Worker (A rating),Skilled Worker
New Bloomsbury LTD T/A Bloomsbury Halal,London,,Worker (A rating),Skilled Worker
New Brothers Food Ltd,London,,Worker (A rating),Skilled Worker
NEW CAPITAL LIVING LIMITED,London,,Worker (A rating),Skilled Worker
New Change FX,London,,Worker (A rating),Skilled Worker
New Chicken Express Ltd,London,,Worker (A rating),Skilled Worker
New City College Corporation,London,,Worker (A rating),Skilled Worker
New Classic Express Limited,London,,Worker (A rating),Skilled Worker
NEW COLES & WALL LTD,London,,Worker (A rating),Skilled Worker
New Commercial Arts London Limited,London,,Worker (A rating),Skilled Worker
New Corner Halal Meat Ltd,London,,Worker (A rating),Skilled Worker
New Creative Sciences,London,,Worker (A rating),Skilled Worker
new cross dental practice,London,london,Worker (A rating),Skilled Worker
New Cross Express Ltd,London,,Worker (A rating),Skilled Worker
New Crystal Kitchen ltd,London,,Worker (A rating),Skilled Worker
New Dawn Risk Group Limited,London,,Worker (A rating),Skilled Worker
New Eltham Mobiles Limited,London,,Worker (A rating),Skilled Worker
New Embassy Ltd,London,,Worker (A rating),Skilled Worker
New End Associates Limited,London,,Worker (A rating),Skilled Worker
New England Food Ventures Limited T/A Subway,London,,Worker (A rating),Skilled Worker
"New Enterprise Associates (UK), Ltd.",London,,Worker (A rating),Skilled Worker
NEW EURO STAR HAIR SALON LIMITED,London,,Worker (A rating),Skilled Worker
NEW FASHION HOUSE LTD,London,,Worker (A rating),Skilled Worker
New Financial LLP,London,,Worker (A rating),Skilled Worker
New Generation Minerals Limited,London,,Worker (A rating),Skilled Worker
New Haweli Ltd T/A Thai Nihun,London,,Worker (A rating),Skilled Worker
NEW HERBLIFE LTD,London,,Worker (A rating),Skilled Worker
NEW HOPE ACUPUNCTURE AND HERB MEDIC CENTRE LTD,London,,Worker (A rating),Skilled Worker
New Horizon Global Advisory Ltd,London,,Worker (A rating),Skilled Worker
New Horizon Health and Medicare Ltd,London,,Worker (A rating),Skilled Worker
New Hyderabad Darbar Limited T/A Hyderabad Darbar,London,,Worker (A rating),Skilled Worker
New International Medical Ltd,London,,Worker (A rating),Skilled Worker
New Jersey Chicken Ltd,London,,Worker (A rating),Skilled Worker
NEW KAKORI LTD,London,,Worker (A rating),Skilled Worker
NEW KEY MECHANICAL LTD,London,,Worker (A rating),Skilled Worker
New Landlords Ltd,London,,Worker (A rating),Skilled Worker
New Life Balance Ltd,London,,Worker (A rating),Skilled Worker
New Linden Hotel Limited,London,,Worker (A rating),Skilled Worker
NEW LINE CONSTRUCTION LTD,London,,Worker (A rating),Skilled Worker
New Lobster Ltd,London,,Worker (A rating),Skilled Worker
New London Architecture Limited,London,,Worker (A rating),Skilled Worker
New Mark Advisors Limited,London,,Worker (A rating),Skilled Worker
NEW MAURITIAN DELIGHTS LIMITED,London,Waltham Forest,Worker (A rating),Skilled Worker
NEW MEATY BUNS LIMITED,London,,Worker (A rating),Skilled Worker
New Media Desk Limited,London,,Worker (A rating),Skilled Worker
New Media DS Ltd,London,,Worker (A rating),Skilled Worker
New Medical Systems Limited,London,,Worker (A rating),Skilled Worker
New Mountain Capital (U.K.) Ltd,London,,Worker (A rating),Skilled Worker
New Narrative Global UK Ltd,London,,Worker (A rating),Skilled Worker
New Net Technologies Ltd,London,,Worker (A rating),Skilled Worker
New Nexus Limited,London,,Worker (A rating),Skilled Worker
New Oriental Vision Overseas Consulting (U.K.) Limited,London,,Worker (A rating),Skilled Worker
NEW PAK HALAL LTD,London,,Worker (A rating),Skilled Worker
New Park Pharmacy Ltd,London,,Worker (A rating),Skilled Worker
NEW PAYLESS LTD,London,,Worker (A rating),Skilled Worker
New Perfect Chicken and Ribs,London,,Worker (A rating),Skilled Worker
New Philanthropy Capital,London,,Worker (A rating),Skilled Worker
New Potential Care Ltd,London,,Worker (A rating),Skilled Worker
NEW PRO IT LTD,London,,Worker (A rating),Skilled Worker
NEW PULSE MARKETING LTD,London,,Worker (A rating),Skilled Worker
NEW QUADRANT PARTNERS LIMITED,London,,Worker (A rating),Skilled Worker
New Relic UK Limited,London,,Worker (A rating),Skilled Worker
New School Represents Limited,London,,Worker (A rating),Skilled Worker
New Science Ventures Management Limited,London,,Worker (A rating),Skilled Worker
NEW SPRING HOLDINGS LIMITED,London,,Worker (A rating),Skilled Worker
NEW TIMES TECHNOLOGY GROUP LIMITED,London,,Worker (A rating),Skilled Worker
New Vector Limited t/as Element,London,,Worker (A rating),Skilled Worker
New Video Frontiers Ltd (VideoWeek),London,London,Worker (A rating),Skilled Worker
New Vision Real Estate Ltd,London,,Worker (A rating),Skilled Worker
NEW VISION TRUST,London,,Worker (A rating),Skilled Worker
New Wave Capital Ltd t/a Capital on Tap,London,,Worker (A rating),Skilled Worker
New World Capital Advisors Limited,London,,Worker (A rating),Skilled Worker
New York Cafe Limited,London,,Worker (A rating),Skilled Worker
New York Times Limited,London,,Worker (A rating),Skilled Worker
NEW ZAZA CAFE LTD,London,,Worker (A rating),Skilled Worker
NEW ZIPPY DRY CLEANERS LTD,London,,Worker (A rating),Skilled Worker
Newable UK Holdings Ltd,London,,Worker (A rating),Skilled Worker
NewAfrica Impact Ltd,London,,Worker (A rating),Skilled Worker
Newbriar Company Ltd (t/a Pied a Terre),London,,Worker (A rating),Skilled Worker
newcleo Generation (UK) Ltd,London,London,Worker (A rating),Skilled Worker
Newcomer Wines Ltd,London,,Worker (A rating),Skilled Worker
Newcross Healthcare Solutions Limited,London,London,Worker (A rating),Skilled Worker
Newdawn Support Services Ltd,London,,Worker (A rating),Skilled Worker
NewDay Cards Limited,London,,Worker (A rating),Skilled Worker
NEWELL SARTORIAL LTD,London,,Worker (A rating),Skilled Worker
Newforma UK Ltd,London,,Worker (A rating),Skilled Worker
NEWGENCAREGROUP LTD,London,,Worker (A rating),Skilled Worker
NewGrade Construction Limited,London,,Worker (A rating),Skilled Worker
NEWHAM CARGO LTD,London,,Worker (A rating),Skilled Worker
Newham College of Further of Education,London,,Worker (A rating),Skilled Worker
Newham Community Learning,London,,Worker (A rating),Skilled Worker
NEWHAM COMMUNITY PROJECT,London,,Worker (A rating),Skilled Worker
Newham Council,London,,Worker (A rating),Skilled Worker
Newham Islamic Cultural Association,London,,Worker (A rating),Skilled Worker
Newham Music Trust,London,,Worker (A rating),Skilled Worker
Newham Tyres and 3D Alignment Ltd,London,,Worker (A rating),Skilled Worker
Newington Green LTD,London,,Worker (A rating),Skilled Worker
Newington Takeaway Ltd T/A Tiffins Club,London,,Worker (A rating),Skilled Worker
Newlife Clinic,London,Surrey,Worker (A rating),Skilled Worker
Newline Group Services Limited,London,,Worker (A rating),Skilled Worker
NEWLINK TRAINING & RECRUITMENT LIMITED,London,GREENWICH,Worker (A rating),Skilled Worker
NewLinks London Ltd,London,,Worker (A rating),Skilled Worker
Newman Law LLP,London,,Worker (A rating),Skilled Worker
Newman Offices Ltd,London,,Worker (A rating),Skilled Worker
Newman Zieglmeier Ltd,London,,Worker (A rating),Skilled Worker
Newmark Holdings Limited,London,,Worker (A rating),Skilled Worker
NewMN Limited,London,,Worker (A rating),Skilled Worker
NEWOTION IT SOLUTIONS LTD,London,,Worker (A rating),Skilled Worker
Newpark Childcare (Clerkenwell) Limited,London,,Worker (A rating),Skilled Worker
Newpark Childcare (Islington) Limited,London,,Worker (A rating),Skilled Worker
Newpark Childcare (Wandsworth) Ltd,London,London,Worker (A rating),Skilled Worker
NEWRIVER REIT PLC,London,,Worker (A rating),Skilled Worker
NewRocket (UK) Limited,London,,Worker (A rating),Skilled Worker
News Corp UK & Ireland Limited,London,,Worker (A rating),Skilled Worker
Newsflare Limited,London,,Worker (A rating),Skilled Worker
NewsNow Publishing Limited,London,,Worker (A rating),Skilled Worker
Newstar Marketing Limited,London,,Worker (A rating),Skilled Worker
Newton Co-Educational Preparatory School,London,,Worker (A rating),Skilled Worker
Newton Tax Advisory,London,Essex,Worker (A rating),Skilled Worker
Newton Venture Education Limited,London,,Worker (A rating),Skilled Worker
Newtons Commercial Ltd,London,,Worker (A rating),Skilled Worker
Newurban Holdings Limited,London,,Worker (A rating),Skilled Worker
NewWaves Solutions Limited,London,,Worker (A rating),Skilled Worker
Newway Consultancy Limited,London,,Worker (A rating),Skilled Worker
NexantECA Limited,London,,Worker (A rating),Skilled Worker
Nexdi Ltd,London,,Worker (A rating),Skilled Worker
Nexedge Markets Ltd,London,,Worker (A rating),Skilled Worker
Nexer Enterprise Applications Limited,London,,Worker (A rating),Skilled Worker
Nexfibre Networks Limited,London,,Worker (A rating),Skilled Worker
NEXGEN COMMUNICATION LTD,London,,Worker (A rating),Skilled Worker
Nexmo Ltd,London,,Worker (A rating),Skilled Worker
Nexmu Ltd,London,,Worker (A rating),Skilled Worker
NEXPIN TECHNOLOGY LTD,London,,Worker (A rating),Skilled Worker
Next 15 Group plc,London,,Worker (A rating),Skilled Worker
Next Gate Tech Limited,London,,Worker (A rating),Skilled Worker
Next Gen Foods (UK) Limited,London,,Worker (A rating),Skilled Worker
Next Generation ICT LTD (TA Fractional Teams),London,England,Worker (A rating),Skilled Worker
Next Jump Limited,London,,Worker (A rating),Skilled Worker
Next Momentum Ltd,London,,Worker (A rating),Skilled Worker
Next Step Heating Limited,London,,Worker (A rating),Skilled Worker
Next Step Support (OH) Ltd,London,,Worker (A rating),Skilled Worker
Next Steps Ltd,London,,Worker (A rating),Skilled Worker
Next Ventures Limited,London,,Worker (A rating),Skilled Worker
NEXTATLANTIC LIMITED,London,,Worker (A rating),Skilled Worker
Nextdoor Europe UK Limited,London,,Worker (A rating),Skilled Worker
NextEnergy Capital Limited,London,,Worker (A rating),Skilled Worker
NextEnergy Services Limited,London,,Worker (A rating),Skilled Worker
Next-g services ltd,London,,Worker (A rating),Skilled Worker
Nexthink Limited,London,,Worker (A rating),Skilled Worker
NEXTSTAFFING UK LIMITED,London,,Worker (A rating),Skilled Worker
NEXTSTAGE EVENTS LIMITED,London,,Worker (A rating),Skilled Worker
NextStep Training Ltd,London,County,Worker (A rating),Skilled Worker
NextUp Comedy,London,London,Worker (A rating),Skilled Worker
NextWave Consulting Ltd,London,England,Worker (A rating),Skilled Worker
Nexus Alpha Limited,London,,Worker (A rating),Skilled Worker
Nexus Business Ltd,London,,Worker (A rating),Skilled Worker
Nexus Communications Group Ltd,London,,Worker (A rating),Skilled Worker
Nexus foods ltd,London,,Worker (A rating),Skilled Worker
Nexus Frontier Tech Ltd,London,,Worker (A rating),Skilled Worker
Nexus Planning Ltd,London,,Worker (A rating),Skilled Worker
Nexus Productions Ltd,London,,Worker (A rating),Skilled Worker
Nexus XL Ltd,London,,Worker (A rating),Skilled Worker
Neye Brothers Ltd,London,,Worker (A rating),Skilled Worker
Neyo Limited,London,,Worker (A rating),Skilled Worker
NFC Homes Limited,London,,Worker (A rating),Skilled Worker
NFC Solutions Ltd T/A NFC Tagify,London,,Worker (A rating),Skilled Worker
NFL International Limited,London,,Worker (A rating),Skilled Worker
NFOQUE Advisory Services UK Ltd,London,,Worker (A rating),Skilled Worker
nfpSynergy Ltd t/a nfpResearch Ltd,London,,Worker (A rating),Skilled Worker
NFTech Investments UK Limited t/a Neo Forensics,London,,Worker (A rating),Skilled Worker
NFThing Limited,London,,Worker (A rating),Skilled Worker
NG Bio Ltd,London,,Worker (A rating),Skilled Worker
NG Network Consultancy Ltd.,London,,Worker (A rating),Skilled Worker
nGAGE Operations Ltd,London,,Worker (A rating),Skilled Worker
nGAGE Talent UK Employees Limited,London,,Worker (A rating),Skilled Worker
NGC International Inc. UK Branch,London,,Worker (A rating),Skilled Worker
NGM Advertising LTD,London,,Worker (A rating),Skilled Worker
Ngoar UK Limited,London,,Worker (A rating),Skilled Worker
NH Foods U.K. Limited,London,,Worker (A rating),Skilled Worker
NH Investment & Securities Europe Ltd,London,,Worker (A rating),Skilled Worker
NHA Enterprise Limited,London,,Worker (A rating),Skilled Worker
NHOA UK Limited,London,,Worker (A rating),Skilled Worker
nhow London,London,,Worker (A rating),Skilled Worker
NHS North Central London ICB,London,London,Worker (A rating),Skilled Worker
NHS North East London Integrated Care Board (ICB),London,,Worker (A rating),Skilled Worker
NHS North West London Integrated Care Board,London,,Worker (A rating),Skilled Worker
NHS Property Services Ltd,London,,Worker (A rating),Skilled Worker
NHS Resolution,London,Canary Wharf,Worker (A rating),Skilled Worker
NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,London,,Worker (A rating),Skilled Worker
NIA ENTERPRISE LIMITED,London,,Worker (A rating),Skilled Worker
Niall McLaughlin Architects Ltd,London,,Worker (A rating),Skilled Worker
Niantic International Limited,London,,Worker (A rating),Skilled Worker
Niarchos (London) Limited,London,,Worker (A rating),Skilled Worker
Nibble Technology Limited,London,,Worker (A rating),Skilled Worker
NIBC BANK NV,London,,Worker (A rating),Skilled Worker
Nice Accounting & Management Limited,London,,Worker (A rating),Skilled Worker
Niche Projects London Limited,London,,Worker (A rating),Skilled Worker
Nichebox UK Limited,London,,Worker (A rating),Skilled Worker
Nichiei Limited,London,,Worker (A rating),Skilled Worker
Nicholson Search and Selection Ltd,London,,Worker (A rating),Skilled Worker
NICHUANG (UK) LTD,London,,Worker (A rating),Skilled Worker
Nickel Digital Asset Management Limited,London,,Worker (A rating),Skilled Worker
Nico Energy UK Ltd.,London,,Worker (A rating),Skilled Worker
Nicola Harding & Co,London,Greater London,Worker (A rating),Skilled Worker
Nicoli Consulting Ltd,London,,Worker (A rating),Skilled Worker
Nicrone UK Limited,London,,Worker (A rating),Skilled Worker
Nido Management UK Limited,London,,Worker (A rating),Skilled Worker
Nido Montessori Nursery,London,,Worker (A rating),Skilled Worker
Nielsen Media Research Ltd,London,,Worker (A rating),Skilled Worker
NIEMANS CHEMISTS LIMITED,London,,Worker (A rating),Skilled Worker
Nigeria High Commission London,London,,Worker (A rating),Skilled Worker
NIGERIAN NATIONAL PETROLEUM CORPORATION,London,HAMMERSMITH & FULHAM,Worker (A rating),Skilled Worker
Nigerian Ports Authority,London,,Worker (A rating),Skilled Worker
Nightcap employee service LTD,London,,Worker (A rating),Skilled Worker
Nightingale Hammerson,London,Choose a County,Worker (A rating),Skilled Worker
Niha Cuts & Beauty Ltd,London,,Worker (A rating),Skilled Worker
Nihilent Limited,London,,Worker (A rating),Skilled Worker
Nii HAi Ltd,London,,Worker (A rating),Skilled Worker
NIIT Limited UK,London,,Worker (A rating),Skilled Worker
NIK SHIPPING AND LOGISTICS LTD,London,,Worker (A rating),Skilled Worker
Nike Retail UK,London,,Worker (A rating),Skilled Worker
NIKITA OPS LIMITED T/A NIKITA,London,,Worker (A rating),Skilled Worker
Nikkei Europe Limited,London,,Worker (A rating),Skilled Worker
Nikko Asset Management Europe Ltd,London,,Worker (A rating),Skilled Worker
Nile UK Service Company Ltd,London,,Worker (A rating),Skilled Worker
NILKANTH EXPRESS SUPERSTORE LTD,London,,Worker (A rating),Skilled Worker
Nils Consultancy Limited,London,,Worker (A rating),Skilled Worker
Nilu Fuel Ltd,London,,Worker (A rating),Skilled Worker
Nimax Theatres Limited,London,,Worker (A rating),Skilled Worker
NIMBOUS LTD,London,,Worker (A rating),Skilled Worker
Nimbus Ninety Ltd,London,Greater London,Worker (A rating),Skilled Worker
Nimika Best Food & Wine,London,,Worker (A rating),Skilled Worker
Nimisha Consulting Limited,London,,Worker (A rating),Skilled Worker
Nimrod Property Invest ltd,London,,Worker (A rating),Skilled Worker
NIN Local Supermarket Limited,London,,Worker (A rating),Skilled Worker
NINAGOLD LIMITED,London,,Worker (A rating),Skilled Worker
Nine Barks Limited,London,,Worker (A rating),Skilled Worker
Nine Bloomsbury Green Limited,London,,Worker (A rating),Skilled Worker
Nine Lives Bristol Ltd,London,,Worker (A rating),Skilled Worker
Nine Stars Ltd T/A Grays of Westminster,London,,Worker (A rating),Skilled Worker
Nine United Properties UK ltd,London,,Worker (A rating),Skilled Worker
NINE58 Advisors,London,,Worker (A rating),Skilled Worker
Nineteen Twenty Bars Ltd,London,,Worker (A rating),Skilled Worker
Ninety Consulting Ltd,London,,Worker (A rating),Skilled Worker
Ninety One UK Limited,London,,Worker (A rating),Skilled Worker
Ninety Percent Ltd,London,UK,Worker (A rating),Skilled Worker
Ninety Percent Of Everything Limited,London,England,Worker (A rating),Skilled Worker
Ninja Tune Limited,London,,Worker (A rating),Skilled Worker
Nintex UK Limited,London,,Worker (A rating),Skilled Worker
NIPIneftegas,London,,Worker (A rating),Skilled Worker
Nippon Kaiji Kyokai (UK) Ltd,London,,Worker (A rating),Skilled Worker
Nippon Life Global Investors Europe Plc,London,,Worker (A rating),Skilled Worker
Nippon Television Network London Bureau T/A Nippon TV (NNN) London,London,,Worker (A rating),Skilled Worker
Nippon Yakin Europe Limited,London,,Worker (A rating),Skilled Worker
Nirmalan Vinayagamoorthy T/A,London,,Worker (A rating),Skilled Worker
NIRWELL UK LIMITED,London,,Worker (A rating),Skilled Worker
Nisa Day One,London,,Worker (A rating),Skilled Worker
NISAR BUTCHERS LIMITED,London,,Worker (A rating),Skilled Worker
Nisa's Homemade Recipes Ltd,London,,Worker (A rating),Skilled Worker
Nishura Ltd.,London,,Worker (A rating),Skilled Worker
NISSIOASIS LTD,London,,Worker (A rating),Skilled Worker
Nistad LTD,London,,Worker (A rating),Skilled Worker
Nisus International Logistics Limited,London,,Worker (A rating),Skilled Worker
Nium Fintech Ltd,London,,Worker (A rating),Skilled Worker
NIVA (UK) LIMITED,London,,Worker (A rating),Skilled Worker
Niveda Group Ltd,London,,Worker (A rating),Skilled Worker
N-IX TECHNOLOGIES LIMITED,London,,Worker (A rating),Skilled Worker
Niya Network LTD,London,London,Worker (A rating),Skilled Worker
NJ DEVELOPMENT AND CONSTRUCTION LTD,London,,Worker (A rating),Skilled Worker
Njfield LTD,London,,Worker (A rating),Skilled Worker
NK Computer Services Limited,London,,Worker (A rating),Skilled Worker
NK GAS AND HEATING LIMITED,London,,Worker (A rating),Skilled Worker
NKD MEDICAL LIMITED,London,,Worker (A rating),Skilled Worker
nkoda Limited,London,,Worker (A rating),Skilled Worker
NKrush Ltd,London,,Worker (A rating),Skilled Worker
NKS PORTFOLIO LIMITED,London,,Worker (A rating),Skilled Worker
NL Clinic,London,,Worker (A rating),Skilled Worker
NLC Capital Partners LLP,London,,Worker (A rating),Skilled Worker
NLI Operator Ltd,London,,Worker (A rating),Skilled Worker
nlyte Software Limited,London,,Worker (A rating),Skilled Worker
NM Five Group Limited t/a August,London,,Worker (A rating),Skilled Worker
NM HOME HEALTHCARE LTD,London,,Worker (A rating),Skilled Worker
NMA (UK) Limited T/A Freshgo Food and Wine,London,,Worker (A rating),Skilled Worker
NMG Financial Services Consulting Limited,London,,Worker (A rating),Skilled Worker
NMR CLAPHAM LTD,London,,Worker (A rating),Skilled Worker
NMR GROUNDS LTD,London,,Worker (A rating),Skilled Worker
NNU Immigration Limited,London,,Worker (A rating),Skilled Worker
No Ghost Limited,London,,Worker (A rating),Skilled Worker
No Label Ventures Adviser Limited,London,,Worker (A rating),Skilled Worker
No Worries Company Services Ltd,London,,Worker (A rating),Skilled Worker
NO. 79 LIMITED,London,,Worker (A rating),Skilled Worker
NO.3 PROJECTS LIMITED,London,,Worker (A rating),Skilled Worker
NO1 LOUNGES (BHX) LTD,London,,Worker (A rating),Skilled Worker
NO1 LOUNGES (LHR) LTD,London,,Worker (A rating),Skilled Worker
Noa Girls,London,,Worker (A rating),Skilled Worker
NOAH PVT LTD,London,,Worker (A rating),Skilled Worker
Nobel Oil E&P Management (UK) Limited,London,,Worker (A rating),Skilled Worker
NOBLE BOOKS SHOP LTD,London,,Worker (A rating),Skilled Worker
Noble Decorators of London LTD,London,,Worker (A rating),Skilled Worker
Noble Restaurant Group Limited,London,,Worker (A rating),Skilled Worker
Noble Rot Limited,London,,Worker (A rating),Skilled Worker
Noble Travel and Money Exchange Limited,London,,Worker (A rating),Skilled Worker
NOBU LONDON LIMITED,London,,Worker (A rating),Skilled Worker
Noddington Technologies Limited,London,,Worker (A rating),Skilled Worker
Node Property Management UK Limited,London,,Worker (A rating),Skilled Worker
nodeQ Limited,London,,Worker (A rating),Skilled Worker
Noerr PartGmbB,London,,Worker (A rating),Skilled Worker
Noetica Limited,London,,Worker (A rating),Skilled Worker
Noggin HQ LTD,London,,Worker (A rating),Skilled Worker
Noir Espresso Ltd,London,,Worker (A rating),Skilled Worker
Noise Films Ltd,London,,Worker (A rating),Skilled Worker
Noise Media Limited,London,,Worker (A rating),Skilled Worker
NOISELESSTWINKLE LTD,London,,Worker (A rating),Skilled Worker
Noiser,London,,Worker (A rating),Skilled Worker
Nolan Partners Limited,London,,Worker (A rating),Skilled Worker
Nollypeek Entertainment and Partners Limited,London,,Worker (A rating),Skilled Worker
Nomad Editing Company Ltd,London,,Worker (A rating),Skilled Worker
NOMASE CARE LTD,London,,Worker (A rating),Skilled Worker
Nomel Limited,London,,Worker (A rating),Skilled Worker
Nom-IQ Limited,London,,Worker (A rating),Skilled Worker
NOMODO LTD,London,,Worker (A rating),Skilled Worker
Nomura Asset Management UK Limited,London,,Worker (A rating),Skilled Worker
"NOMURA FIDUCIARY RESEARCH & CONSULTING CO., LTD. LONDON BRANCH",London,,Worker (A rating),Skilled Worker
Nomura International Plc,London,,Worker (A rating),Skilled Worker
Nomura Research Institute Europe Limited,London,,Worker (A rating),Skilled Worker
NongHyup London Representative Office,London,,Worker (A rating),Skilled Worker
NONIUS HOSPITALITY TECHNOLOGY UK LTD,London,LONDON,Worker (A rating),Skilled Worker
Nono Network Ltd.,London,,Worker (A rating),Skilled Worker
NOOM HEALTH UK LIMITED,London,,Worker (A rating),Skilled Worker
Nooma & Co Ltd,London,Greater London,Worker (A rating),Skilled Worker
"Noon Dalton, LLC",London,,Worker (A rating),Skilled Worker
Noon Films Limited,London,,Worker (A rating),Skilled Worker
Noon Tech Limited,London,,Worker (A rating),Skilled Worker
Noor Group of Hotels (UK) Limited T/A Colonel Saab,London,,Worker (A rating),Skilled Worker
Noor Group of Hotels (UK) Ltd T/A Colonel Saab Trafalgar Square,London,,Worker (A rating),Skilled Worker
NOOR ISR LIMITED,London,,Worker (A rating),Skilled Worker
Noor367Ltd,London,,Worker (A rating),Skilled Worker
NOOR-E-MADINA FOUNDATION LIMITED,London,,Worker (A rating),Skilled Worker
NOORWOOD MINI MARKET,London,,Worker (A rating),Skilled Worker
NOQ EVENTS LTD,London,,Worker (A rating),Skilled Worker
NORAC FOODS UK LIMITED,London,,Worker (A rating),Skilled Worker
NORBEN LIMITED,London,England,Worker (A rating),Skilled Worker
